key,de-DE,en-US
custom.data.type.doris.name,DoRIS,DoRIS
custom.data.type.doris.buttonMenu.detailInfo,Detailinfo,Detail info
custom.data.type.doris.buttonMenu.edit,Bearbeiten,Edit
custom.data.type.doris.buttonMenu.delete,Löschen,Delete
custom.data.type.doris.field.az,Aktenzeichen,File number
custom.data.type.doris.field.gz3,GZ3,GZ3
custom.data.type.doris.field.typ,Typ,Type
custom.data.type.doris.field.typ.options.default,Akte,Akte
custom.data.type.doris.field.typ.options.other,Anderer Typ,Other type
custom.data.type.doris.field.content,Inhalt,Content
custom.data.type.doris.field.lastChangeDate,Datum der letzten Änderung,Last change date
custom.data.type.doris.field.lastChangeDate.suffix,Uhr,
custom.data.type.doris.createDocument.header,Neue DoRIS-Akte anlegen,Create new DoRIS document
custom.data.type.doris.createDocument.confirm,Erstellen,Create
custom.data.type.doris.createDocument.cancel,Abbrechen,Cancel
custom.data.type.doris.detailInfo.loading,Lade Informationen,Loading information
userPlugin.doris.username.label,Username,User name
userPlugin.doris.username.hint,Der Username des DoRIS-Accounts,The user name of the DoRIS account
userPlugin.doris.password.label,Passwort,Password
userPlugin.doris.password.hint,Das Passwort des DoRIS-Accounts,The password of the DoRIS account
userPlugin.doris.organizationUnit.label,Organisationseinheit,Organization unit
userPlugin.doris.organizationUnit.hint,"Die Organisationseinheit, die bei neu angelegten DoRIS-Akten gesetzt wird, wenn für den gewählten Aktentyp keine Organisationseinheit festgelegt ist","The organization unit that will be set for newly created DoRIS documents in case no organization unit is defined for the chosen document type"
server.config.name.system.doris,DoRIS,DoRIS
server.config.parameter.system.doris.url.label,URL,URL
server.config.parameter.system.doris.types.label,Typen,Types
server.config.parameter.system.doris.types.id.label,ID,ID
server.config.parameter.system.doris.types.name.label,Name,Name
server.config.parameter.system.doris.types.organization_unit.label,Organisationseinheit,Organization unit
